Day,Time,Section,Course,Instructor
Monday,2:15 PM - 3:45 PM,S1_AID_L3,CNC311 (Lab),Eng. Fatma Elsayed
Monday,2:15 PM - 3:45 PM,S2_AID_L3,CNC311 (Lab),Eng. Nada Hamdy
Tuesday,9:00 AM - 10:30 AM,S3_AID_L3,CNC311 (Lab),Eng. Fatma Elsayed
Monday,12:30 PM - 2:00 PM,S4_AID_L3,CNC311 (Lab),Eng. Fatma Elsayed
Monday,10:45 AM - 12:15 PM,S1_CNC_L3,CNC311 (Lab),Eng. Fatma Elsayed
Monday,9:00 AM - 10:30 AM,S2_CNC_L3,CNC311 (Lab),Eng. Fatma Elsayed
Monday,9:00 AM - 10:30 AM,S3_CNC_L3,CNC311 (Lab),Eng. Nada Hamdy
Monday,10:45 AM - 12:15 PM,S4_CNC_L3,CNC311 (Lab),Eng. Nada Hamdy
Monday,12:30 PM - 2:00 PM,S1_CSC_L3,CNC311 (Lab),Eng. Nada Hamdy
Sunday,2:15 PM - 3:45 PM,S1_BIF_L3,CNC311 (Lab),Eng. Nada Hamdy
Tuesday,9:00 AM - 10:30 AM,S1_AID_L3,AID311 (Lab),Eng. Tarek Salah
Tuesday,10:45 AM - 12:15 PM,S2_AID_L3,AID311 (Lab),Eng. Salma Waleed
Tuesday,10:45 AM - 12:15 PM,S3_AID_L3,AID311 (Lab),Eng. Tarek Salah
Tuesday,12:30 PM - 2:00 PM,S4_AID_L3,AID311 (Lab),Eng. Salma Waleed
Sunday,10:45 AM - 12:15 PM,S1_BIF_L4,AID422 (Lab),Eng. Heba Abdelkader
Monday,12:30 PM - 2:00 PM,S1_L1,ECE111 (Lab),Eng. Rana Mohamed
Monday,2:15 PM - 3:45 PM,S2_L1,ECE111 (Lab),Eng. Rana Mohamed
Tuesday,9:00 AM - 10:30 AM,S3_L1,ECE111 (Lab),Eng. Rana Mohamed
Tuesday,10:45 AM - 12:15 PM,S4_L1,ECE111 (Lab),Eng. Rana Mohamed
Tuesday,12:30 PM - 2:00 PM,S5_L1,ECE111 (Lab),Eng. Tarek Salah
Tuesday,12:30 PM - 2:00 PM,S6_L1,ECE111 (Lab),Eng. Rana Mohamed
Tuesday,2:15 PM - 3:45 PM,S7_L1,ECE111 (Lab),Eng. Tarek Salah
Tuesday,2:15 PM - 3:45 PM,S8_L1,ECE111 (Lab),Eng. Rana Mohamed
Wednesday,9:00 AM - 10:30 AM,S9_L1,ECE111 (Lab),Eng. Tarek Salah
Wednesday,9:00 AM - 10:30 AM,S10_L1,ECE111 (Lab),Eng. Rana Mohamed
Wednesday,10:45 AM - 12:15 PM,S11_L1,ECE111 (Lab),Eng. Tarek Salah
Wednesday,10:45 AM - 12:15 PM,S12_L1,ECE111 (Lab),Eng. Rana Mohamed
Tuesday,10:45 AM - 12:15 PM,S1_AID_L3,CNC314 (Lab),Eng. Salma Alashry
Tuesday,9:00 AM - 10:30 AM,S2_AID_L3,CNC314 (Lab),Eng. Salma Alashry
Monday,2:15 PM - 3:45 PM,S3_AID_L3,CNC314 (Lab),Eng. Salma Alashry
Tuesday,10:45 AM - 12:15 PM,S4_AID_L3,CNC314 (Lab),Eng. Nourhan Waleed
Monday,2:15 PM - 3:45 PM,S1_CNC_L3,CNC314 (Lab),Eng. Nourhan Waleed
Tuesday,12:30 PM - 2:00 PM,S2_CNC_L3,CNC314 (Lab),Eng. Salma Alashry
Monday,12:30 PM - 2:00 PM,S3_CNC_L3,CNC314 (Lab),Eng. Salma Alashry
Monday,9:00 AM - 10:30 AM,S4_CNC_L3,CNC314 (Lab),Eng. Salma Alashry
Tuesday,12:30 PM - 2:00 PM,S1_CSC_L3,CNC314 (Lab),Eng. Nourhan Waleed
Tuesday,2:15 PM - 3:45 PM,S1_BIF_L3,CNC314 (Lab),Eng. Salma Alashry
Sunday,12:30 PM - 2:00 PM,S1_CNC_L4,PHY123 (Lab),Eng. Omnya Ramadan
Sunday,9:00 AM - 10:30 AM,S2_CNC_L4,PHY123 (Lab),Eng. Omnya Ramadan
Sunday,9:00 AM - 10:30 AM,S3_CNC_L4,PHY123 (Lab),Eng. Nada Ahmed
Sunday,10:45 AM - 12:15 PM,S4_CNC_L4,PHY123 (Lab),Eng. Omnya Ramadan
Monday,9:00 AM - 10:30 AM,S1_CNC_L4,ACM323 (Lab),Eng. Saeed Mostafa
Monday,2:15 PM - 3:45 PM,S2_CNC_L4,ACM323 (Lab),Eng. Saeed Mostafa
Monday,10:45 AM - 12:15 PM,S3_CNC_L4,ACM323 (Lab),Eng. Saeed Mostafa
Sunday,9:00 AM - 10:30 AM,S4_CNC_L4,ACM323 (Lab),Eng. Maria Mounir
